OrderID,OrderDate,CustomerName,CustomerType,Gender,Age,Region,State,City,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Profit,ServiceCharge_INR,DeliveryDays,PaymentMode,Rating
ORD94079,2023-01-09,Priya Pillai,Regular,Male,32,West,Gujarat,Ahmedabad,Suite,Presidential Suite,2,20122.75,0.05,38233.22,3854.74,1939.4,0,Net Banking,4.0
ORD10847,2024-06-08,Pari Sharma,Premium,Male,41,West,Maharashtra,Mumbai,Banquet/Event,Small Meeting Room,1,137759.3,0.05,130871.33,34232.7,1030.13,1,Wallet,4.0
ORD23417,2023-05-16,Aman Das,Regular,Male,65,North,Haryana,Faridabad,Banquet/Event,Wedding Hall,1,142493.07,0.1,128243.76,10755.57,426.79,1,Debit Card,3.0
ORD44383,2024-02-21,Nisha Sharma,Regular,Male,53,East,Odisha,Cuttack,Villa,Beach Villa,1,51612.61,0.15,43870.72,8054.97,1259.65,3,Credit Card,5.0
ORD97457,2023-02-09,Kabir Gupta,New,Male,39,West,Maharashtra,Pune,Banquet/Event,Rooftop Party,1,123199.73,0.05,117039.74,38377.58,1735.33,3,UPI,5.0
ORD19724,2024-11-23,Meera Chopra,Regular,Male,38,East,West Bengal,Kolkata,Suite,Honeymoon Suite,3,23444.18,0.15,59782.66,7275.23,1921.58,3,Wallet,2.0
ORD90161,2023-03-16,Aarav Pillai,Premium,Male,24,East,Bihar,Patna,Banquet/Event,Small Meeting Room,1,144189.67,0.15,122561.22,17487.67,727.72,2,UPI,4.0
ORD55338,2024-01-30,Vivaan Rao,Regular,Female,28,South,Telangana,Warangal,Banquet/Event,Wedding Hall,1,54338.34,0.1,48904.51,11144.97,1379.31,3,Credit Card,4.0
ORD89831,2024-12-29,Reyansh Mehta,Premium,Female,51,North,Delhi,New Delhi,Deluxe Room,City View,4,3512.1,0.1,12643.56,4000.81,1132.47,3,Debit Card,4.0
ORD99677,2024-09-21,Aman Mehta,New,Male,48,South,Karnataka,Mysuru,Suite,Luxury Suite,2,24079.99,0.05,45751.98,11714.17,417.7,3,UPI,1.0
ORD27067,2023-01-09,Ishaan Das,Premium,Male,24,South,Tamil Nadu,Chennai,Banquet/Event,Conference Hall,1,78019.47,0.15,66316.55,9512.4,891.53,3,Credit Card,3.0
ORD69930,2024-10-31,Dev Agarwal,Regular,Male,55,South,Karnataka,Bengaluru,Standard Room,Double,2,2126.97,0.2,3403.15,679.1,1962.6,3,Debit Card,2.0
ORD21855,2023-04-20,Zara Singh,Regular,Male,55,West,Gujarat,Ahmedabad,Suite,Junior Suite,2,8769.74,0.2,14031.58,3111.23,753.25,3,Credit Card,4.0
ORD90006,2023-05-10,Aarav Iyer,New,Female,65,South,Kerala,Thiruvananthapuram,Deluxe Room,Garden View,3,4926.71,0.15,12563.11,3646.86,873.62,3,Wallet,3.0
ORD71564,2023-02-23,Sneha Bhatt,New,Male,22,South,Kerala,Kochi,Villa,1BHK Villa,1,21029.55,0.15,17875.12,2524.91,1870.84,3,Debit Card,3.0
ORD53746,2023-05-31,Anika Bhatt,Regular,Male,19,West,Maharashtra,Mumbai,Standard Room,Non-AC,1,2464.08,0.05,2340.88,475.37,355.26,2,Credit Card,3.0
ORD70633,2023-09-26,Meera Kulkarni,New,Male,42,South,Karnataka,Mysuru,Deluxe Room,Pool View,2,4323.66,0.0,8647.32,1394.54,1590.07,0,Credit Card,4.0
ORD45441,2023-11-19,Kavya Iyer,New,Female,18,North,Punjab,Ludhiana,Standard Room,Non-AC,2,3954.99,0.15,6723.48,1959.37,1736.74,2,Net Banking,1.0
ORD65452,2024-07-11,Aryan Iyer,New,Female,28,East,Odisha,Bhubaneswar,Standard Room,AC,4,2779.95,0.1,10007.82,2947.64,647.33,2,Debit Card,5.0
ORD15871,2024-08-04,Neha Chopra,New,Female,25,North,Delhi,New Delhi,Deluxe Room,Pool View,3,6743.46,0.05,19218.86,2616.76,1785.4,2,Credit Card,4.0
ORD26073,2023-02-08,Kabir Sharma,Premium,Female,42,North,Uttar Pradesh,Noida,Villa,1BHK Villa,2,49995.24,0.1,89991.43,10745.15,891.92,1,Wallet,1.0
ORD74027,2023-10-01,Tanya Chopra,New,Male,41,East,Jharkhand,Ranchi,Deluxe Room,City View,2,7616.53,0.0,15233.06,2900.54,1227.79,2,Net Banking,3.0
ORD39849,2024-03-11,Vivaan Singh,Premium,Female,29,North,Uttar Pradesh,Lucknow,Standard Room,AC,1,2755.12,0.15,2341.85,611.92,1386.3,3,Wallet,3.0
ORD77440,2023-06-17,Rohan Verma,New,Female,43,South,Kerala,Thiruvananthapuram,Deluxe Room,Executive,3,5698.01,0.15,14529.93,3953.01,1680.35,3,UPI,3.0
ORD15343,2024-01-30,Krishna Pillai,New,Female,24,East,Bihar,Gaya,Standard Room,Double,3,1590.65,0.2,3817.56,579.0,289.87,1,UPI,5.0
ORD40755,2023-04-05,Priya Kapoor,Premium,Female,56,West,Rajasthan,Udaipur,Banquet/Event,Poolside Event,1,100799.59,0.1,90719.63,21733.24,742.38,3,Credit Card,1.0
ORD53748,2024-12-29,Dev Das,Regular,Female,39,East,Odisha,Bhubaneswar,Villa,Beach Villa,2,41607.72,0.2,66572.35,16522.35,1860.17,1,Debit Card,2.0
ORD53879,2023-05-23,Diya Iyer,New,Male,22,South,Kerala,Kochi,Standard Room,Double,2,3760.71,0.2,6017.14,1313.82,1724.53,1,Wallet,1.0
ORD22555,2023-10-23,Ananya Chopra,Regular,Female,21,East,Jharkhand,Jamshedpur,Suite,Junior Suite,3,21252.5,0.15,54193.88,9859.49,1556.1,3,UPI,2.0
ORD86210,2023-01-20,Meera Joshi,New,Male,37,East,Odisha,Bhubaneswar,Standard Room,AC,1,2029.26,0.2,1623.41,154.12,580.23,2,Net Banking,4.0
ORD94882,2024-12-25,Simran Iyer,New,Female,60,South,Kerala,Kochi,Suite,Family Suite,2,21762.83,0.1,39173.09,4868.78,1946.86,2,Debit Card,3.0
ORD88983,2023-09-11,Pooja Verma,Regular,Female,54,South,Tamil Nadu,Coimbatore,Deluxe Room,Garden View,3,6362.78,0.15,16225.09,1485.34,1837.36,3,Wallet,1.0
ORD80052,2023-06-24,Myra Kapoor,Regular,Female,56,South,Telangana,Warangal,Deluxe Room,Business,1,6893.56,0.15,5859.53,1641.8,1038.42,2,UPI,2.0
ORD51857,2023-10-28,Ayaan Kulkarni,Regular,Female,30,North,Punjab,Ludhiana,Banquet/Event,Poolside Event,1,119132.51,0.2,95306.01,17553.91,868.48,1,Debit Card,3.0
ORD97963,2024-10-17,Vivaan Gupta,New,Male,44,North,Delhi,New Delhi,Villa,1BHK Villa,2,22679.98,0.05,43091.96,12140.61,680.11,2,Net Banking,1.0
ORD28152,2023-08-07,Yash Kapoor,Regular,Female,22,West,Gujarat,Ahmedabad,Deluxe Room,Pool View,3,7786.32,0.0,23358.96,7684.99,543.7,1,UPI,5.0
ORD66829,2023-05-02,Myra Singh,New,Female,53,West,Maharashtra,Mumbai,Standard Room,Twin Sharing,2,2696.18,0.15,4583.51,1482.24,433.17,0,Credit Card,5.0
ORD98207,2023-11-20,Kiara Agarwal,Regular,Male,48,South,Kerala,Thiruvananthapuram,Standard Room,Twin Sharing,5,2765.67,0.2,11062.68,2350.22,453.11,3,Wallet,5.0
ORD82209,2023-12-31,Ishaan Patel,Regular,Male,65,East,Jharkhand,Jamshedpur,Banquet/Event,Poolside Event,1,47718.16,0.2,38174.53,3376.96,425.02,0,UPI,3.0
ORD86670,2023-05-28,Myra Bhatt,New,Male,52,East,Bihar,Gaya,Banquet/Event,Rooftop Party,1,42260.81,0.05,40147.77,5216.48,973.46,3,UPI,1.0
ORD40566,2023-01-12,Pari Nair,New,Female,31,North,Haryana,Gurugram,Deluxe Room,Business,4,5462.96,0.15,18574.06,1956.96,1088.42,1,Debit Card,2.0
ORD73198,2024-03-11,Kiara Das,Regular,Female,30,West,Goa,Panaji,Banquet/Event,Small Meeting Room,1,51879.83,0.1,46691.85,7422.29,1518.1,2,Debit Card,1.0
ORD30803,2023-06-15,Pooja Sharma,Regular,Male,52,North,Uttar Pradesh,Noida,Standard Room,Single,1,2674.5,0.1,2407.05,783.02,1281.73,0,UPI,1.0
ORD39181,2024-04-20,Priya Verma,Regular,Female,24,West,Goa,Panaji,Suite,Luxury Suite,3,13782.53,0.1,37212.83,10848.29,801.38,3,UPI,5.0
ORD98632,2024-02-29,Myra Chopra,New,Male,63,South,Tamil Nadu,Chennai,Deluxe Room,Business,4,7876.43,0.15,26779.86,5952.43,443.08,0,Wallet,2.0
ORD47605,2023-10-17,Rahul Mehta,Regular,Male,45,East,Jharkhand,Jamshedpur,Suite,Luxury Suite,2,10154.39,0.15,17262.46,1813.17,321.61,2,Debit Card,4.0
ORD98292,2023-11-27,Yash Malhotra,New,Female,21,South,Karnataka,Bengaluru,Suite,Family Suite,1,16418.6,0.0,16418.6,4001.94,1339.76,2,Wallet,2.0
ORD62455,2023-02-12,Ananya Khan,Premium,Male,44,West,Gujarat,Surat,Standard Room,AC,1,3961.77,0.0,3961.77,358.53,486.83,3,Credit Card,4.0
ORD51279,2023-05-06,Ananya Chopra,New,Female,60,North,Uttar Pradesh,Noida,Deluxe Room,Executive,3,4157.76,0.0,12473.28,3618.87,1150.14,2,UPI,4.0
ORD26660,2024-03-13,Arjun Kapoor,New,Female,48,East,West Bengal,Howrah,Villa,Pool Villa,1,42468.01,0.2,33974.41,4782.01,1117.2,2,UPI,4.0
ORD14612,2024-03-26,Meera Mehta,Regular,Female,64,West,Goa,Panaji,Villa,1BHK Villa,1,36662.86,0.0,36662.86,11781.37,455.63,3,Credit Card,4.0
ORD58198,2023-12-19,Kabir Reddy,Premium,Male,34,South,Telangana,Hyderabad,Standard Room,Twin Sharing,1,3086.04,0.05,2931.74,332.8,1076.57,0,Wallet,3.0
ORD51752,2023-11-04,Pari Joshi,Regular,Male,18,South,Tamil Nadu,Chennai,Banquet/Event,Conference Hall,1,99086.39,0.1,89177.75,30010.63,847.01,3,Debit Card,4.0
ORD82058,2023-09-23,Anika Kulkarni,Premium,Male,33,North,Uttar Pradesh,Noida,Banquet/Event,Small Meeting Room,1,72480.38,0.2,57984.3,19641.89,1446.47,3,Net Banking,3.0
